,0,1,2
1020,2000,TD Waterhouse Arena               ,orlando magic
1021,2001,TD Waterhouse Arena               ,orlando magic
1022,2002,TD Waterhouse Arena               ,orlando magic
1023,2003,TD Waterhouse Arena               ,orlando magic
1024,2004,TD Waterhouse Arena               ,orlando magic
1025,2005,TD Waterhouse Arena               ,orlando magic
1026,2006,TD Waterhouse Arena               ,orlando magic
1027,2007,TD Waterhouse Arena               ,orlando magic
1028,2008,TD Waterhouse Arena               ,orlando magic
1029,2009,TD Waterhouse Arena               ,orlando magic
1030,2010,Amway Center                      ,orlando magic
1031,2011,Amway Center                      ,orlando magic
1032,2012,Amway Center                      ,orlando magic
1033,2013,Amway Center                      ,orlando magic
1034,2014,Amway Center                      ,orlando magic
1035,2015,Amway Center                      ,orlando magic
1036,2016,Amway Center                      ,orlando magic
1037,2017,Amway Center                      ,orlando magic
1038,2018,Amway Center                      ,orlando magic
1039,1949,State Fair Coliseum               ,philadelphia sixers
1040,1950,State Fair Coliseum               ,philadelphia sixers
1041,1951,Onondaga County War Memorial      ,philadelphia sixers
1042,1952,Onondaga County War Memorial      ,philadelphia sixers
1043,1953,Onondaga County War Memorial      ,philadelphia sixers
1044,1954,Onondaga County War Memorial      ,philadelphia sixers
1045,1955,Onondaga County War Memorial      ,philadelphia sixers
1046,1956,Onondaga County War Memorial      ,philadelphia sixers
1047,1957,Onondaga County War Memorial      ,philadelphia sixers
1048,1958,Onondaga County War Memorial      ,philadelphia sixers
1049,1959,Onondaga County War Memorial      ,philadelphia sixers
1050,1960,Onondaga County War Memorial      ,philadelphia sixers
1051,1961,Onondaga County War Memorial      ,philadelphia sixers
1052,1962,Onondaga County War Memorial      ,philadelphia sixers
1053,1963,Convention Hall               ,philadelphia sixers
1054,1964,Convention Hall               ,philadelphia sixers
1055,1965,Convention Hall               ,philadelphia sixers
1056,1966,Convention Hall               ,philadelphia sixers
1057,1967,First Union Spectrum          ,philadelphia sixers
1058,1968,First Union Spectrum          ,philadelphia sixers
1059,1969,First Union Spectrum          ,philadelphia sixers
1060,1970,First Union Spectrum          ,philadelphia sixers
1061,1971,First Union Spectrum          ,philadelphia sixers
1062,1972,First Union Spectrum          ,philadelphia sixers
1063,1973,First Union Spectrum          ,philadelphia sixers
1064,1974,First Union Spectrum          ,philadelphia sixers
1065,1975,First Union Spectrum          ,philadelphia sixers
1066,1976,First Union Spectrum          ,philadelphia sixers
1067,1977,First Union Spectrum          ,philadelphia sixers
1068,1978,First Union Spectrum          ,philadelphia sixers
1069,1979,First Union Spectrum          ,philadelphia sixers
1070,1980,First Union Spectrum          ,philadelphia sixers
1071,1981,First Union Spectrum          ,philadelphia sixers
1072,1982,First Union Spectrum          ,philadelphia sixers
1073,1983,First Union Spectrum          ,philadelphia sixers
1074,1984,First Union Spectrum          ,philadelphia sixers
1075,1985,First Union Spectrum          ,philadelphia sixers
1076,1986,First Union Spectrum          ,philadelphia sixers
1077,1987,First Union Spectrum          ,philadelphia sixers
1078,1988,First Union Spectrum          ,philadelphia sixers
1079,1989,First Union Spectrum          ,philadelphia sixers
1080,1990,First Union Spectrum          ,philadelphia sixers
1081,1991,First Union Spectrum          ,philadelphia sixers
1082,1992,First Union Spectrum          ,philadelphia sixers
1083,1993,First Union Spectrum          ,philadelphia sixers
1084,1994,First Union Spectrum          ,philadelphia sixers
1085,1995,First Union Spectrum          ,philadelphia sixers
1086,1996,First Union Center            ,philadelphia sixers
1087,1997,First Union Center            ,philadelphia sixers
1088,1998,First Union Center            ,philadelphia sixers
1089,1999,First Union Center            ,philadelphia sixers
1090,2000,First Union Center            ,philadelphia sixers
1091,2001,First Union Center            ,philadelphia sixers
1092,2002,First Union Center            ,philadelphia sixers
1093,2003,Wahcovia center                 ,philadelphia sixers
1094,2004,Wahcovia center                 ,philadelphia sixers
1095,2005,Wahcovia center                 ,philadelphia sixers
1096,2006,Wahcovia center                 ,philadelphia sixers
1097,2007,Wahcovia center                 ,philadelphia sixers
1098,2008,Wahcovia center                 ,philadelphia sixers
1099,2009,Wahcovia center                 ,philadelphia sixers
1100,2010,Wells Fargo Center            ,philadelphia sixers
1101,2011,Wells Fargo Center            ,philadelphia sixers
1102,2012,Wells Fargo Center            ,philadelphia sixers
1103,2013,Wells Fargo Center            ,philadelphia sixers
1104,2014,Wells Fargo Center            ,philadelphia sixers
1105,2015,Wells Fargo Center            ,philadelphia sixers
1106,2016,Wells Fargo Center            ,philadelphia sixers
1107,2017,Wells Fargo Center            ,philadelphia sixers
1108,2018,Wells Fargo Center            ,philadelphia sixers
1109,1968,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1110,1969,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1111,1970,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1112,1971,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1113,1972,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1114,1973,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1115,1974,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1116,1975,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1117,1976,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1118,1977,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1119,1978,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1120,1979,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1121,1980,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1122,1981,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1123,1982,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1124,1983,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1125,1984,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1126,1985,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1127,1986,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1128,1987,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1129,1988,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1130,1989,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1131,1990,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1132,1991,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1133,1992,America West Arena                ,phoenix suns
1134,1993,America West Arena                ,phoenix suns
1135,1994,America West Arena                ,phoenix suns
1136,1995,America West Arena                ,phoenix suns
1137,1996,America West Arena                ,phoenix suns
1138,1997,America West Arena                ,phoenix suns
1139,1998,America West Arena                ,phoenix suns
1140,1999,America West Arena                ,phoenix suns
1141,2000,America West Arena                ,phoenix suns
1142,2001,America West Arena                ,phoenix suns
1143,2002,America West Arena                ,phoenix suns
1144,2003,America West Arena                ,phoenix suns
1145,2004,America West Arena                ,phoenix suns
1146,2005,America West Arena                ,phoenix suns
1147,2006,America West Arena                ,phoenix suns
1148,2007,America West Arena                ,phoenix suns
1149,2008,America West Arena                ,phoenix suns
1150,2009,America West Arena                ,phoenix suns
1151,2010,America West Arena                ,phoenix suns
1152,2011,America West Arena                ,phoenix suns
1153,2012,America West Arena                ,phoenix suns
1154,2013,America West Arena                ,phoenix suns
1155,2014,America West Arena                ,phoenix suns
1156,2015,Talking Stick Resort Arena        ,phoenix suns
1157,2016,Talking Stick Resort Arena        ,phoenix suns
1158,2017,Talking Stick Resort Arena        ,phoenix suns
1159,2018,Talking Stick Resort Arena        ,phoenix suns
1160,1970,Memorial Coliseum                ,portland trailblazers
1161,1971,Memorial Coliseum                ,portland trailblazers
1162,1972,Memorial Coliseum                ,portland trailblazers
1163,1973,Memorial Coliseum                ,portland trailblazers
1164,1974,Memorial Coliseum                ,portland trailblazers
1165,1975,Memorial Coliseum                ,portland trailblazers
1166,1976,Memorial Coliseum                ,portland trailblazers
1167,1977,Memorial Coliseum                ,portland trailblazers
1168,1978,Memorial Coliseum                ,portland trailblazers
1169,1979,Memorial Coliseum                ,portland trailblazers
1170,1980,Memorial Coliseum                ,portland trailblazers
1171,1981,Memorial Coliseum                ,portland trailblazers
1172,1982,Memorial Coliseum                ,portland trailblazers
1173,1983,Memorial Coliseum                ,portland trailblazers
1174,1984,Memorial Coliseum                ,portland trailblazers
1175,1985,Memorial Coliseum                ,portland trailblazers
1176,1986,Memorial Coliseum                ,portland trailblazers
1177,1987,Memorial Coliseum                ,portland trailblazers
1178,1988,Memorial Coliseum                ,portland trailblazers
1179,1989,Memorial Coliseum                ,portland trailblazers
1180,1990,Memorial Coliseum                ,portland trailblazers
1181,1991,Memorial Coliseum                ,portland trailblazers
1182,1992,Memorial Coliseum                ,portland trailblazers
1183,1993,Memorial Coliseum                ,portland trailblazers
1184,1994,Memorial Coliseum                ,portland trailblazers
1185,1995,Rose Garden                      ,portland trailblazers
1186,1996,Rose Garden                      ,portland trailblazers
1187,1997,Rose Garden                      ,portland trailblazers
1188,1998,Rose Garden                      ,portland trailblazers
1189,1999,Rose Garden                      ,portland trailblazers
1190,2000,Rose Garden                      ,portland trailblazers
1191,2001,Rose Garden                      ,portland trailblazers
1192,2002,Rose Garden                      ,portland trailblazers
1193,2003,Rose Garden                      ,portland trailblazers
1194,2004,Rose Garden                      ,portland trailblazers
1195,2005,Rose Garden                      ,portland trailblazers
1196,2006,Rose Garden                      ,portland trailblazers
1197,2007,Rose Garden                      ,portland trailblazers
1198,2008,Rose Garden                      ,portland trailblazers
1199,2009,Rose Garden                      ,portland trailblazers
1200,2010,Rose Garden                      ,portland trailblazers
1201,2011,Rose Garden                      ,portland trailblazers
1202,2012,Rose Garden                      ,portland trailblazers
1203,2013,Rose Garden                      ,portland trailblazers
1204,2014,Moda Center                      ,portland trailblazers
1205,2015,Moda Center                      ,portland trailblazers
1206,2016,Moda Center                      ,portland trailblazers
1207,2017,Moda Center                      ,portland trailblazers
1208,2018,Moda Center                      ,portland trailblazers
1209,1948,Edgarton Park Arena              ,sacramento kings
1210,1949,Edgarton Park Arena              ,sacramento kings
1211,1950,Edgarton Park Arena              ,sacramento kings
1212,1951,Edgarton Park Arena              ,sacramento kings
1213,1952,Edgarton Park Arena              ,sacramento kings
1214,1953,Edgarton Park Arena              ,sacramento kings
1215,1954,Edgarton Park Arena              ,sacramento kings
1216,1955,Rochester War Memorial          ,sacramento kings
1217,1956,Rochester War Memorial          ,sacramento kings
1218,1957,Rochester War Memorial          ,sacramento kings
1219,1958,Cincinnati Gardens             ,sacramento kings
1220,1959,Cincinnati Gardens             ,sacramento kings
1221,1960,Cincinnati Gardens             ,sacramento kings
1222,1961,Cincinnati Gardens             ,sacramento kings
1223,1962,Cincinnati Gardens             ,sacramento kings
1224,1963,Cincinnati Gardens             ,sacramento kings
1225,1964,Cincinnati Gardens             ,sacramento kings
1226,1965,Cincinnati Gardens             ,sacramento kings
1227,1966,Cincinnati Gardens             ,sacramento kings
1228,1967,Cincinnati Gardens             ,sacramento kings
1229,1968,Cincinnati Gardens             ,sacramento kings
1230,1969,Cincinnati Gardens             ,sacramento kings
1231,1970,Cincinnati Gardens             ,sacramento kings
1232,1971,Cincinnati Gardens             ,sacramento kings
1233,1972,Municipal Auditorium      ,sacramento kings
1234,1973,Municipal Auditorium      ,sacramento kings
1235,1974,Kemper Arena           ,sacramento kings
1236,1975,Kemper Arena           ,sacramento kings
1237,1976,Kemper Arena           ,sacramento kings
1238,1977,Kemper Arena           ,sacramento kings
1239,1978,Kemper Arena               ,sacramento kings
1240,1979,Kemper Arena               ,sacramento kings
1241,1980,Kemper Arena               ,sacramento kings
1242,1981,Kemper Arena               ,sacramento kings
1243,1982,Kemper Arena               ,sacramento kings
1244,1983,Kemper Arena               ,sacramento kings
1245,1984,Kemper Arena               ,sacramento kings
1246,1985,ARCO Arena I                   ,sacramento kings
1247,1986,ARCO Arena I                   ,sacramento kings
1248,1987,ARCO Arena I                   ,sacramento kings
1249,1988,ARCO Arena II                  ,sacramento kings
1250,1989,ARCO Arena II                  ,sacramento kings
1251,1990,ARCO Arena II                  ,sacramento kings
1252,1991,ARCO Arena II                  ,sacramento kings
1253,1992,ARCO Arena II                  ,sacramento kings
1254,1993,ARCO Arena II                  ,sacramento kings
1255,1994,ARCO Arena II                  ,sacramento kings
1256,1995,ARCO Arena II                  ,sacramento kings
1257,1996,ARCO Arena II                  ,sacramento kings
1258,1997,ARCO Arena II                  ,sacramento kings
1259,1998,ARCO Arena II                  ,sacramento kings
1260,1999,ARCO Arena II                  ,sacramento kings
1261,2000,ARCO Arena II                  ,sacramento kings
1262,2001,ARCO Arena II                  ,sacramento kings
1263,2002,ARCO Arena II                  ,sacramento kings
1264,2003,ARCO Arena II                  ,sacramento kings
1265,2004,ARCO Arena II                  ,sacramento kings
1266,2005,ARCO Arena II                  ,sacramento kings
1267,2006,ARCO Arena II                  ,sacramento kings
1268,2007,ARCO Arena II                  ,sacramento kings
1269,2008,ARCO Arena II                  ,sacramento kings
1270,2009,ARCO Arena II                  ,sacramento kings
1271,2010,ARCO Arena II                  ,sacramento kings
1272,2011,ARCO Arena II                  ,sacramento kings
1273,2012,ARCO Arena II                  ,sacramento kings
1274,2013,Sleep Train Arena              ,sacramento kings
1275,2014,Sleep Train Arena              ,sacramento kings
1276,2015,Sleep Train Arena              ,sacramento kings
1277,2016,Sleep Train Arena              ,sacramento kings
1278,2017,Sleep Train Arena              ,sacramento kings
1279,2018,Sleep Train Arena              ,sacramento kings
1280,1967,Memorial Auditorium                ,san antoni spurs
1281,1968,Memorial Auditorium                ,san antoni spurs
1282,1969,Memorial Auditorium                ,san antoni spurs
1283,1970,Moody Coliseum                ,san antoni spurs
1284,1971,Moody Coliseum                     ,san antoni spurs
1285,1972,Moody Coliseum                     ,san antoni spurs
1286,1973,HemisFair Arena            ,san antoni spurs
1287,1974,HemisFair Arena            ,san antoni spurs
1288,1975,HemisFair Arena            ,san antoni spurs
1289,1976,HemisFair Arena            ,san antoni spurs
1290,1977,HemisFair Arena            ,san antoni spurs
1291,1978,HemisFair Arena            ,san antoni spurs
1292,1979,HemisFair Arena            ,san antoni spurs
1293,1980,HemisFair Arena            ,san antoni spurs
1294,1981,HemisFair Arena            ,san antoni spurs
1295,1982,HemisFair Arena            ,san antoni spurs
1296,1983,HemisFair Arena            ,san antoni spurs
1297,1984,HemisFair Arena            ,san antoni spurs
1298,1985,HemisFair Arena            ,san antoni spurs
1299,1986,HemisFair Arena            ,san antoni spurs
1300,1987,HemisFair Arena            ,san antoni spurs
1301,1988,HemisFair Arena            ,san antoni spurs
1302,1989,HemisFair Arena            ,san antoni spurs
1303,1990,HemisFair Arena            ,san antoni spurs
1304,1991,HemisFair Arena            ,san antoni spurs
1305,1992,HemisFair Arena            ,san antoni spurs
1306,1993,Alamodome                ,san antoni spurs
1307,1994,Alamodome                ,san antoni spurs
1308,1995,Alamodome                ,san antoni spurs
1309,1996,Alamodome                ,san antoni spurs
1310,1997,Alamodome                ,san antoni spurs
1311,1998,Alamodome                ,san antoni spurs
1312,1999,Alamodome                ,san antoni spurs
1313,2000,Alamodome                ,san antoni spurs
1314,2001,Alamodome                ,san antoni spurs
1315,2002,SBC Center              ,san antoni spurs
1316,2003,SBC Center              ,san antoni spurs
1317,2004,SBC Center              ,san antoni spurs
1318,2005,SBC Center              ,san antoni spurs
1319,2006,SBC Center              ,san antoni spurs
1320,2007,SBC Center              ,san antoni spurs
1321,2008,SBC Center              ,san antoni spurs
1322,2009,SBC Center              ,san antoni spurs
1323,2010,AT&T Center               ,san antoni spurs
1324,2011,AT&T Center               ,san antoni spurs
1325,2012,AT&T Center               ,san antoni spurs
1326,2013,AT&T Center               ,san antoni spurs
1327,2014,AT&T Center               ,san antoni spurs
1328,2015,AT&T Center               ,san antoni spurs
1329,2016,AT&T Center               ,san antoni spurs
1330,2017,AT&T Center               ,san antoni spurs
1331,2018,AT&T Center               ,san antoni spurs
1332,1967,Seattle Center Coliseum          ,oklahoma city thunder
1333,1968,Seattle Center Coliseum          ,oklahoma city thunder
1334,1969,Seattle Center Coliseum          ,oklahoma city thunder
1335,1970,Seattle Center Coliseum          ,oklahoma city thunder
1336,1971,Seattle Center Coliseum          ,oklahoma city thunder
1337,1972,Seattle Center Coliseum          ,oklahoma city thunder
1338,1973,Seattle Center Coliseum          ,oklahoma city thunder
1339,1974,Seattle Center Coliseum          ,oklahoma city thunder
1340,1975,Seattle Center Coliseum          ,oklahoma city thunder
1341,1976,Seattle Center Coliseum          ,oklahoma city thunder
1342,1977,Seattle Center Coliseum          ,oklahoma city thunder
1343,1978,Kingdome                         ,oklahoma city thunder
1344,1979,Kingdome                         ,oklahoma city thunder
1345,1980,Kingdome                         ,oklahoma city thunder
1346,1981,Kingdome                         ,oklahoma city thunder
1347,1982,Kingdome                         ,oklahoma city thunder
1348,1983,Kingdome                         ,oklahoma city thunder
1349,1984,Kingdome                         ,oklahoma city thunder
1350,1985,Seattle Center Coliseum          ,oklahoma city thunder
1351,1986,Seattle Center Coliseum          ,oklahoma city thunder
1352,1987,Seattle Center Coliseum          ,oklahoma city thunder
1353,1988,Seattle Center Coliseum          ,oklahoma city thunder
1354,1989,Seattle Center Coliseum          ,oklahoma city thunder
1355,1990,Seattle Center Coliseum          ,oklahoma city thunder
1356,1991,Seattle Center Coliseum          ,oklahoma city thunder
1357,1992,Seattle Center Coliseum          ,oklahoma city thunder
1358,1993,Seattle Center Coliseum          ,oklahoma city thunder
1359,1994,Tacoma Dome                       ,oklahoma city thunder
1360,1995,Key Arena                        ,oklahoma city thunder
1361,1996,Key Arena                        ,oklahoma city thunder
1362,1997,Key Arena                        ,oklahoma city thunder
1363,1998,Key Arena                        ,oklahoma city thunder
1364,1999,Key Arena                        ,oklahoma city thunder
1365,2000,Key Arena                        ,oklahoma city thunder
1366,2001,Key Arena                        ,oklahoma city thunder
1367,2002,Key Arena                        ,oklahoma city thunder
1368,2003,Key Arena                        ,oklahoma city thunder
1369,2004,Key Arena                        ,oklahoma city thunder
1370,2005,Key Arena                        ,oklahoma city thunder
1371,2006,Key Arena                        ,oklahoma city thunder
1372,2007,Key Arena                        ,oklahoma city thunder
1373,2008,Chesapeake Energy Arena         ,oklahoma city thunder
1374,2009,Chesapeake Energy Arena         ,oklahoma city thunder
1375,2010,Chesapeake Energy Arena         ,oklahoma city thunder
1376,2011,Chesapeake Energy Arena         ,oklahoma city thunder
1377,2012,Chesapeake Energy Arena         ,oklahoma city thunder
1378,2013,Chesapeake Energy Arena         ,oklahoma city thunder
1379,2014,Chesapeake Energy Arena         ,oklahoma city thunder
1380,2015,Chesapeake Energy Arena         ,oklahoma city thunder
1381,2016,Chesapeake Energy Arena         ,oklahoma city thunder
1382,2017,Chesapeake Energy Arena         ,oklahoma city thunder
1383,2018,Chesapeake Energy Arena         ,oklahoma city thunder
1384,1995,SkyDome                           ,toronto raptors
1385,1996,SkyDome                           ,toronto raptors
1386,1997,SkyDome                           ,toronto raptors
1387,1998,SkyDome                           ,toronto raptors
1388,1999,Air Canada Centre                ,toronto raptors
1389,2000,Air Canada Centre                ,toronto raptors
1390,2001,Air Canada Centre                ,toronto raptors
1391,2002,Air Canada Centre                ,toronto raptors
1392,2003,Air Canada Centre                ,toronto raptors
1393,2004,Air Canada Centre                ,toronto raptors
1394,2005,Air Canada Centre                ,toronto raptors
1395,2006,Air Canada Centre                ,toronto raptors
1396,2007,Air Canada Centre                ,toronto raptors
1397,2008,Air Canada Centre                ,toronto raptors
1398,2009,Air Canada Centre                ,toronto raptors
1399,2010,Air Canada Centre                ,toronto raptors
1400,2011,Air Canada Centre                ,toronto raptors
1401,2012,Air Canada Centre                ,toronto raptors
1402,2013,Air Canada Centre                ,toronto raptors
1403,2014,Air Canada Centre                ,toronto raptors
1404,2015,Air Canada Centre                ,toronto raptors
1405,2016,Air Canada Centre                ,toronto raptors
1406,2017,Air Canada Centre                ,toronto raptors
1407,2018,Air Canada Centre                ,toronto raptors
1408,1974,Municipal Auditorium       ,utah jazz
1409,1975,Superdome                      ,utah jazz
1410,1976,Superdome                      ,utah jazz
1411,1977,Superdome                      ,utah jazz
1412,1978,Superdome                      ,utah jazz
1413,1979,Salt Palace                ,utah jazz
1414,1980,Salt Palace                ,utah jazz
1415,1981,Salt Palace                ,utah jazz
1416,1982,Salt Palace                ,utah jazz
1417,1983,Salt Palace                ,utah jazz
1418,1984,Salt Palace                ,utah jazz
1419,1985,Salt Palace                ,utah jazz
1420,1986,Salt Palace                ,utah jazz
1421,1987,Salt Palace                ,utah jazz
1422,1988,Salt Palace                ,utah jazz
1423,1989,Salt Palace                ,utah jazz
1424,1990,Salt Palace                ,utah jazz
1425,1991,Delta Center                 ,utah jazz
1426,1992,Delta Center                 ,utah jazz
1427,1993,Delta Center                 ,utah jazz
1428,1994,Delta Center                 ,utah jazz
1429,1995,Delta Center                 ,utah jazz
1430,1996,Delta Center                 ,utah jazz
1431,1997,Delta Center                 ,utah jazz
1432,1998,Delta Center                 ,utah jazz
1433,1999,Delta Center                 ,utah jazz
1434,2000,Delta Center                 ,utah jazz
1435,2001,Delta Center                 ,utah jazz
1436,2002,Delta Center                 ,utah jazz
1437,2003,Delta Center                 ,utah jazz
1438,2004,Delta Center                 ,utah jazz
1439,2005,Delta Center                 ,utah jazz
1440,2006,Energy Solutions Arena      ,utah jazz
1441,2007,Energy Solutions Arena      ,utah jazz
1442,2008,Energy Solutions Arena      ,utah jazz
1443,2009,Energy Solutions Arena      ,utah jazz
1444,2010,Energy Solutions Arena      ,utah jazz
1445,2011,Energy Solutions Arena      ,utah jazz
1446,2012,Energy Solutions Arena      ,utah jazz
1447,2013,Energy Solutions Arena      ,utah jazz
1448,2014,Energy Solutions Arena      ,utah jazz
1449,2015,Vivint Smart Home Arena     ,utah jazz
1450,2016,Vivint Smart Home Arena     ,utah jazz
1451,2017,Vivint Smart Home Arena     ,utah jazz
1452,2018,Vivint Smart Home Arena     ,utah jazz
1453,1961,Chicago Amphitheater             ,washington wizards
1454,1962,Chicago Coliseum                  ,washington wizards
1455,1963,Baltimore Civic Center         ,washington wizards
1456,1964,Baltimore Civic Center         ,washington wizards
1457,1965,Baltimore Civic Center         ,washington wizards
1458,1966,Baltimore Civic Center         ,washington wizards
1459,1967,Baltimore Civic Center         ,washington wizards
1460,1968,Baltimore Civic Center         ,washington wizards
1461,1969,Baltimore Civic Center         ,washington wizards
1462,1970,Baltimore Civic Center         ,washington wizards
1463,1971,Baltimore Civic Center         ,washington wizards
1464,1972,Baltimore Civic Center         ,washington wizards
1465,1973,USAir Arena                     ,washington wizards
1466,1974,USAir Arena                     ,washington wizards
1467,1975,USAir Arena                     ,washington wizards
1468,1976,USAir Arena                     ,washington wizards
1469,1977,USAir Arena                     ,washington wizards
1470,1978,USAir Arena                     ,washington wizards
1471,1979,USAir Arena                     ,washington wizards
1472,1980,USAir Arena                     ,washington wizards
1473,1981,USAir Arena                     ,washington wizards
1474,1982,USAir Arena                     ,washington wizards
1475,1983,USAir Arena                     ,washington wizards
1476,1984,USAir Arena                     ,washington wizards
1477,1985,USAir Arena                     ,washington wizards
1478,1986,USAir Arena                     ,washington wizards
1479,1987,USAir Arena                     ,washington wizards
1480,1988,USAir Arena                     ,washington wizards
1481,1989,USAir Arena                     ,washington wizards
1482,1990,USAir Arena                     ,washington wizards
1483,1991,USAir Arena                     ,washington wizards
1484,1992,USAir Arena                     ,washington wizards
1485,1993,USAir Arena                     ,washington wizards
1486,1994,USAir Arena                     ,washington wizards
1487,1995,USAir Arena                     ,washington wizards
1488,1996,USAir Arena                     ,washington wizards
1489,1997,MCI Center                    ,washington wizards
1490,1998,MCI Center                    ,washington wizards
1491,1999,MCI Center                    ,washington wizards
1492,2000,MCI Center                    ,washington wizards
1493,2001,MCI Center                    ,washington wizards
1494,2002,MCI Center                    ,washington wizards
1495,2003,MCI Center                    ,washington wizards
1496,2004,MCI Center                    ,washington wizards
1497,2005,Verizon Center               ,washington wizards
1498,2006,Verizon Center               ,washington wizards
1499,2007,Verizon Center               ,washington wizards
1500,2008,Verizon Center               ,washington wizards
1501,2009,Verizon Center               ,washington wizards
1502,2010,Verizon Center               ,washington wizards
1503,2011,Verizon Center               ,washington wizards
1504,2012,Verizon Center               ,washington wizards
1505,2013,Verizon Center               ,washington wizards
1506,2014,Verizon Center               ,washington wizards
1507,2015,Verizon Center               ,washington wizards
1508,2016,Verizon Center               ,washington wizards
1509,2017,Verizon Center               ,washington wizards
1510,2018,Verizon Center               ,washington wizards
